index,Позитив,Негатив,Комментарий,Отзывы
15,"Мягкие, тонкие ",Пока не выявили ,,"мягкие, тонкие , пока не выявили , "
16,цена ,"тусклые, были бы ярче ","мягонькие, как облачко ","цена , тусклые, были бы ярче , мягонькие, как облачко "
17,"Отличные трусики,пользуемся уже несколько месяцев.ночь выдерживают,не протекают,очень мягкие.  ",,,"отличные трусики,пользуемся уже несколько месяцев ночь выдерживают,не протекают,очень мягкие   , , "
18,"Цена, качество ",Нет ,"Памперсы очень хорошие, пока сухая, внутри мягкий подклад, резиночка не тугая, застежка держится слабо, но все равно держится, это уже хорошо. Советую к покупке. Продавец быстро отправил, пачка пришла без повреждений. Буду заказывать ещё  ","цена, качество , нет , памперсы очень хорошие, пока сухая, внутри мягкий подклад, резиночка не тугая, застежка держится слабо, но все равно держится, это уже хорошо  советую к покупке  продавец быстро отправил, пачка пришла без повреждений  буду заказывать еще  "
19,обысные трусики ,"трусики плотноваты, тк у ретенка чувствительная кожа, то за ночь попка стала красной, учитывая, что ночью трусики меняю минимум 1 раз. нам не подошли.  ",,"обысные трусики , трусики плотноваты, тк у ретенка чувствительная кожа, то за ночь попка стала красной, учитывая, что ночью трусики меняю минимум 1 раз  нам не подошли   , "
20,"мягкие, дышашие, удобная мягкая резинка. красивый яркий рисунок ",толстовато наполнение ,"Одеваем на прогулку, удобные, мягкая резинка, размеру соответствуют.  ","мягкие, дышашие, удобная мягкая резинка  красивый яркий рисунок , толстовато наполнение , одеваем на прогулку, удобные, мягкая резинка, размеру соответствуют   "
21,"Очень понравились подгузники , не протекают , хорошо садятся идут в размер  ",Нет  ,Буду брать ещё  ,"очень понравились подгузники , не протекают , хорошо садятся идут в размер  , нет  , буду брать еще  "
22,"Цена, качество ","Маленькое количество, присутствие запаха  ",Не протекают хорошие подгузники. Внутри остаются сухими. Резиночки мягкие не натирают. Очень мягкие и приятные на ощупь. ,"цена, качество , маленькое количество, присутствие запаха  , не протекают хорошие подгузники  внутри остаются сухими  резиночки мягкие не натирают  очень мягкие и приятные на ощупь  "
23,понравиль ,нет ,"тоненькие,приятные на ощупь,в размер,не комкуются, ","понравиль , нет , тоненькие,приятные на ощупь,в размер,не комкуются, "
24,"Мягкие, приятная на ощупь поверхность, отлично впитывают- после 2 пописов даже сухие внутри.
 Раздражения не вызывают. Ничего не протекает. Хорошая защита в виде резиночек-сборочек. 
 Выдерживают спокойно ночной сон. ( у нас он с +-00.00 до 7 утра)

Спокоен малыш- счастлива мама:)
Цена мега приятная. 
 ",отсутствует  ,"Долго думала , какие брать (4-8 кг или 6-11) и не прогадала. Спасибо тем, кто отвечает тут на вопросы. Боялась, что мб не подойдут. Маломерки. Но зря. У нас вес почти 6 кг. (5.8 примерно) На нас хорошо сидят.) к покупке рекомендую ","мягкие, приятная на ощупь поверхность, отлично впитывают после 2 пописов даже сухие внутри  раздражения не вызывают  ничего не протекает  хорошая защита в виде резиночексборочек   выдерживают спокойно ночной сон   у нас он с 00 00 до 7 утраспокоен малыш счастлива мамацена мега приятная   , отсутствует  , долго думала , какие брать 48 кг или 611 и не прогадала  спасибо тем, кто отвечает тут на вопросы  боялась, что мб не подойдут  маломерки  но зря  у нас вес почти 6 кг  5 8 примерно на нас хорошо сидят  к покупке рекомендую "
25,"подойдут на ночь, особенно для тех деток кто много писает.  ",нет.  ,"подгузники правда отличные! брала как ночные. Но они прям толстенькие-толстенькие. Лично для нас это пока прям излишняя толщина, мы ещё столько не писаем, 🙈прям жалко выкидывать после использования, ведь в него можно ещё писать и писать, но я стараюсь долго не держать дочку в одном подгузнике... ","подойдут на ночь, особенно для тех деток кто много писает   , нет   , подгузники правда отличные брала как ночные  но они прям толстенькиетолстенькие  лично для нас это пока прям излишняя толщина, мы еще столько не писаем, прям жалко выкидывать после использования, ведь в него можно еще писать и писать, но я стараюсь долго не держать дочку в одном подгузнике    "
